img,id_poroto,area_mm2,perimetro_mm,eje_mayor_mm,eje_menor_mm,cx_px,cy_px,RGB_dom,HSV_dom,proportion_dom,area_px_dom,image_path,RGB_lote,HSV_lote,area_px_lote
PL01_1.TIF,1,91.0240115,37.235792920275095,12.600897400088833,9.28503426443892,950.4094533534154,2266.736643926641,"(186, 164, 144)","(14, 58, 186)",0.46339815717196775,90296,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(122, 102, 91)","(11, 65, 122)",90296
PL01_1.TIF,2,101.93326387500001,39.63602877722477,13.893565001468868,9.404482153739245,1318.8617456832612,976.2755196898673,"(195, 172, 151)","(14, 58, 195)",0.6578354002254791,101118,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(171, 152, 133)","(15, 57, 171)",101118
PL01_1.TIF,3,92.54416975000001,36.94304693126568,12.413861232184496,9.531768059710304,1944.830192584201,298.94368437105135,"(183, 163, 146)","(14, 52, 183)",0.6306261165090846,91804,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(158, 139, 125)","(13, 53, 158)",91804
PL01_1.TIF,4,118.8072220625,42.14389163966975,14.534979433433556,10.44456375486019,1989.925222939664,1584.1467201778426,"(187, 168, 153)","(13, 46, 187)",0.46413025955182974,117857,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(118, 102, 94)","(10, 52, 118)",117857
PL01_1.TIF,5,108.2890979375,40.17484414448892,13.661977450137465,10.139422477679865,2341.9755266563025,2792.6670731593795,"(187, 167, 148)","(15, 53, 187)",0.5856939389143851,107423,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(149, 133, 118)","(15, 53, 149)",107423
PL01_1.TIF,6,99.24879343750001,39.38389804269647,13.91154741786915,9.123738827350268,2961.642516885887,903.0305418719212,"(188, 166, 146)","(14, 57, 188)",0.5391600223452339,98455,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(142, 122, 109)","(12, 59, 142)",98455
PL01_1.TIF,7,103.91511475,39.52475717610844,13.539250972702234,9.837949037416788,3058.3504423576887,1951.3388013658764,"(184, 165, 149)","(14, 49, 184)",0.5618039656978775,103084,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(137, 119, 108)","(11, 54, 137)",103084
PL01_1.TIF,8,114.72154475,41.940627496619435,14.650618908910884,10.039940078149591,3680.1506713296544,2641.7022248778603,"(185, 166, 149)","(14, 50, 185)",0.6190204210748305,113804,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(147, 127, 115)","(11, 56, 147)",113804
PL01_1.TIF,9,109.71147412500001,40.85848395603767,13.610417327692323,10.35924435023808,3831.2044306007315,381.57996581950493,"(181, 163, 146)","(15, 49, 181)",0.4323924508885091,108834,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(118, 97, 89)","(8, 63, 118)",108834
PL01_1.TIF,10,104.9302336875,39.831589078459054,13.538019889722616,9.972594287528338,4078.695564458022,1379.515001296942,"(178, 162, 144)","(16, 49, 178)",0.45519785572239674,104091,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(115, 101, 91)","(13, 53, 115)",104091
PL01_1.TIF,11,91.36675275,37.03736229852982,12.820799834340695,9.11863641011307,4141.514729246657,2059.5314334260115,"(191, 168, 148)","(14, 57, 191)",0.5186680789090428,90636,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_1.TIF,"(135, 117, 105)","(12, 57, 135)",90636
PL01_2.TIF,1,108.2669205625,40.26519420088043,13.916859964099437,9.948014202677664,1070.6756547890616,2392.897868734928,"(187, 168, 149)","(15, 52, 187)",0.5924060297390155,107401,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(148, 130, 116)","(13, 55, 148)",107401
PL01_2.TIF,2,194.71533637500002,67.70238734672158,20.655869183286875,13.211202489572933,1075.2247227658186,656.6768500398638,"(190, 167, 145)","(15, 60, 190)",0.6607233456548525,193158,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(162, 140, 122)","(14, 63, 162)",193158
PL01_2.TIF,3,118.739681875,42.278047986304955,14.57328532847118,10.411122591322375,1867.0395704219372,1393.159181594363,"(188, 169, 153)","(14, 47, 188)",0.4679281429075571,117790,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(119, 102, 94)","(10, 54, 119)",117790
PL01_2.TIF,4,92.9846930625,37.33890711971692,12.466280461568475,9.536637688484733,2197.2105137628605,1258.5035938465542,"(185, 163, 145)","(14, 55, 185)",0.6156266781226506,92241,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(148, 128, 114)","(12, 59, 148)",92241
PL01_2.TIF,5,116.3415011875,41.93105438933169,14.75451563192981,10.108613958209924,2636.1403159144274,2358.3133063572795,"(185, 166, 148)","(15, 51, 185)",0.6419578722998674,115411,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(153, 134, 120)","(13, 55, 153)",115411
PL01_2.TIF,6,103.1016083125,39.21176998216189,13.395593737305374,9.865338307791555,3029.748046970482,1417.148958221301,"(187, 167, 149)","(14, 52, 187)",0.5243309835055779,102277,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(133, 117, 105)","(13, 54, 133)",102277
PL01_2.TIF,7,109.3213539375,40.673044257271954,13.52990362279106,10.396050763456154,3415.9511282008725,661.6228664693352,"(185, 166, 149)","(14, 50, 185)",0.5556262506108975,108447,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(144, 123, 111)","(11, 58, 144)",108447
PL01_2.TIF,8,100.8959675625,39.369812129355275,14.03920257822818,9.199251841900702,4024.4591813286174,1074.4156200981126,"(187, 166, 145)","(15, 57, 187)",0.5380811078140455,100089,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(141, 122, 108)","(13, 60, 141)",100089
PL01_2.TIF,9,89.8778444375,37.0509007166902,12.881904413932233,8.934521091943447,4185.147612691932,2378.0922733543443,"(191, 169, 148)","(15, 57, 191)",0.6168193900783993,89159,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(158, 138, 121)","(14, 60, 158)",89159
PL01_2.TIF,10,102.81229437500001,39.35736870155655,13.333632060893171,9.93463953527019,4254.821266790862,1799.2232767918424,"(186, 167, 150)","(14, 49, 186)",0.5969702912050201,101990,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL01_2.TIF,"(146, 130, 117)","(13, 51, 146)",101990
PL02_1.TIF,1,164.22951025,51.07209013349834,18.791836373513497,11.226121034804853,794.6958309803825,2211.2787080458643,"(50, 13, 10)","(2, 204, 50)",0.47952318986471554,162916,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(104, 72, 55)","(10, 120, 104)",162916
PL02_1.TIF,2,219.99754387500002,59.342497817130415,21.65911747671038,13.048110852645085,937.7688349416692,1135.6183845159871,"(39, 4, 6)","(178, 229, 39)",0.6159605568232847,218238,/content/drive/MyDrive/datasCo/Imagenes_Scaner/PL_cropped/PL02_1.TIF,"(67, 37, 33)","(4, 129, 67)",218238
